process,commodity,direction
E_WOF_shal_Near_C4_KEN,ELCWIN,IN
E_WOF_deep_Near_C8_ARG,ELC,OUT
INMFINPRO02,MNMCLK,IN
E_WOF_deep_Inter_C4_URY,ELC,OUT
E_WOF_tran_Inter_C2_BRA,ELC,OUT
E_WOF_tran_Inter_C7_VEN,ELCWIN,IN
E_SPV_C04_CHN,ELC,OUT
INMCEMPLAOXYCC,CPTINDCO2P,OUT
E_WON_Near_C7_MDG,ELC,OUT
E_SPV_C07_TUR,ELC,OUT
E_WOF_shal_Inter_C4_NIC,ELCWIN,IN
EHYDGEN00,ELC,OUT
E_SPV_C04_BLZ,ELCSOL,IN
IMCHELC_new,IMCH,OUT
E_WON_Far_C5_UGA,ELCWIN,IN
E_WON_Near_C6_MRT,ELC,OUT
E_WOF_shal_Near_C3_MDG,ELCWIN,IN
E_WON_Trans_C1_DJI,ELC,OUT
E_WOF_tran_Inter_C5_JAM,ELC,OUT
E_WON_Near_C1_AGO,ELC,OUT
INMCEMPLAOXYCC,MNMCLK,OUT
E_WOF_tran_Near_C3_CAN,ELCWIN,IN
E_WON_Trans_C3_ZMB,ELCWIN,IN
E_WOF_deep_Inter_C5_NIC,ELCWIN,IN
E_SPV_C06_CMR,ELCSOL,IN
E_WOF_shal_Near_C3_BHS,ELC,OUT
E_WOF_shal_Near_C1_CIV,ELC,OUT
E_WON_Trans_C3_ERI,ELCWIN,IN
E_WOF_tran_Inter_C7_CHN,ELCWIN,IN
E_SPV_C06_DZA,ELC,OUT
UDISTHH201,SYNHYD,OUT
E_SPV_C03_ESP,ELC,OUT
E_WOF_tran_Far_C3_MOZ,ELCWIN,IN
E_WON_Trans_C6_ERI,ELCWIN,IN
E_WOF_deep_Inter_C4_AGO,ELC,OUT
E_WOF_deep_Near_C3_BRA,ELC,OUT
E_WON_Far_C5_LBY,ELC,OUT
E_WOF_deep_Inter_C8_MUS,ELCWIN,IN
IN2ONIT02,INDN2OP,IN
E_SPV_C04_MNG,ELCSOL,IN
E_WON_Trans_C3_SWZ,ELCWIN,IN
IISDRIH2,MISCST,OUT
IN2ONIT04,INDNIT,IN
E_SPV_C04_YEM,ELC,OUT
UCOCOIL100,BIOCRPCOC,IN
E_WOF_shal_Near_C7_CHL,ELC,OUT
E_WOF_tran_Inter_C5_NIC,ELCWIN,IN
UFTJTK_COAL,OILJTK,OUT
UETHCRP201,ALCETH,OUT
E_SPV_C02_SLE,ELC,OUT
E_WOF_tran_Near_C1_COG,ELC,OUT
E_WOF_tran_Far_C5_CAN,ELCWIN,IN
IISBLAFUR_BFCCS01,GASIIS,OUT
E_WON_Far_C3_TCD,ELCWIN,IN
E_SPV_C01_BGD,ELC,OUT
CCUMINEASB,BFSAGG,OUT
E_WON_Far_C3_NER,ELCWIN,IN
UDISTHH200,SYNHY0,IN
E_WON_Far_C3_AGO,ELCWIN,IN
E_WOF_deep_Inter_C3_TTO,ELC,OUT
EZCOABIOPULTOR20CO,BIOTOR,IN
E_SPV_C06_MAR,ELC,OUT
E_SPV_C04_NER,ELC,OUT
E_WOF_shal_Near_C4_CHN,ELC,OUT
E_WON_Far_C7_SOM,ELCWIN,IN
UJATOIL100,BIOCRPJAT,IN
UBIOSRF500,BIOSRF,IN
UBIOARSPTOARSP100,BIOSUNCAK,IN
EZCCGT125,ELCCO2N,OUT
E_WOF_deep_Near_C1_AUS,ELCWIN,IN
E_SPV_C04_GRC,ELC,OUT
UBIOBETTSUGAR100,BIOBETPL,OUT
EZCOABIOCCOPEL20PAR,ELC,OUT
UFTJTK_COACCS,OILJTK,OUT
E_WON_Near_C4_SOM,ELC,OUT
UFTHFO_COACCS,OILHFO,OUT
RCH4WLF11,RESDMY,OUT
E_WOF_deep_Near_C7_NZL,ELCWIN,IN
E_WON_Far_C1_GUY,ELC,OUT
IISCOREX_SM01,MISFORE,IN
E_WOF_deep_Far_C4_BRA,ELC,OUT
E_WOF_deep_Near_C1_HTI,ELCWIN,IN
E_WON_Far_C1_KEN,ELCWIN,IN
UBIOCRPTOCRP100,BIOCRP,OUT
E_WOF_tran_Far_C7_CAN,ELC,OUT
E_WOF_deep_Near_C3_DOM,ELCWIN,IN
IONFELC_new,IONF,OUT
E_WON_Trans_C7_MRT,ELC,OUT
IISDRIH2,MISLIM,IN
E_WOF_deep_Near_C1_SOM,ELC,OUT
E_SPV_C07_DOM,ELCSOL,IN
E_SPV_C08_DZA,ELCSOL,IN
E_WON_Near_C3_MOZ,ELCWIN,IN
E_WOF_shal_Near_C1_HND,ELCWIN,IN
EZCOABIOPULPEL40PAR,CPTELCCO2N,OUT
E_WOF_shal_Near_C6_MRT,ELCWIN,IN
INMGASMIXCC,INDCOG,IN
E_WOF_shal_Near_C4_ARG,ELCWIN,IN
E_WOF_deep_Near_C4_PRI,ELCWIN,IN
CCUMET03,SYNHYD,IN
EZCOABIOPULPEL10SEP,ELCCO2N,OUT
E_WOF_tran_Near_C2_MDG,ELCWIN,IN
E_WOF_shal_Inter_C3_GUY,ELCWIN,IN
E_SPV_C07_NPL,ELC,OUT
E_WOF_tran_Far_C9_NZL,ELC,OUT
E_SPV_C06_MDV,ELC,OUT
IPCHOVC_new,INDOVC,IN
UBIOSRF1300,BIOSRFCANE,OUT
UBIOCRPPRD1600,BIOCRPMIS,OUT
E_WOF_deep_Inter_C3_GTM,ELCWIN,IN
E_SPV_C05_CAF,ELCSOL,IN
E_SPV_C04_GMB,ELCSOL,IN
CCUGAS01,HET,OUT
E_WON_Near_C4_SDN,ELCWIN,IN
E_WON_Trans_C2_TGO,ELCWIN,IN
E_WOF_deep_Inter_C1_SEN,ELCWIN,IN
E_WON_Far_C1_ERI,ELC,OUT
E_SPV_C02_KHM,ELCSOL,IN
E_SPV_C05_TKM,ELCSOL,IN
E_SPV_C06_HUN,ELCSOL,IN
UBIOCRPPRD1200,BIOARSGRD,OUT
E_WON_Far_C2_CHN,ELC,OUT
E_WOF_shal_Near_C2_AUS,ELC,OUT
E_WON_Near_C3_SWZ,ELC,OUT
IPLPHFO_new,INDHFO,IN
EZCOABIOPULTOR10SEP,BIOTOR,IN
E_WON_Far_C3_EGY,ELCWIN,IN
E_WOF_shal_Inter_C6_VEN,ELCWIN,IN
E_WOF_shal_Near_C4_BRA,ELC,OUT
E_WOF_deep_Near_C2_CHL,ELCWIN,IN
E_SPV_C08_PRT,ELCSOL,IN
IISCOREX_SM01,MISBFS,OUT
E_WOF_deep_Far_C8_MUS,ELCWIN,IN
CCUDUMSUPN,CCUFOS,OUT
E_SPV_C04_PER,ELC,OUT
E_WON_Trans_C2_SDN,ELC,OUT
E_WOF_shal_Inter_C6_AUS,ELCWIN,IN
E_WOF_shal_Far_C7_CAN,ELCWIN,IN
E_SPV_C06_KOR,ELCSOL,IN
E_WOF_shal_Inter_C1_VEN,ELCWIN,IN
CCULIQ04,OILDSTB,OUT
E_SPV_C06_BGR,ELC,OUT
UBIOCRPPRD800,BIOSRFRAP,IN
E_WOF_deep_Near_C5_ZAF,ELC,OUT
E_SPV_C06_PRT,ELC,OUT
CCUGAS03,GASNGAB,OUT
UBIOCRPTOCRP1200,BIOCRP,OUT
E_WON_Near_C6_ZAF,ELCWIN,IN
E_SPV_C07_IDN,ELC,OUT
E_WON_Trans_C6_CAN,ELC,OUT
E_SPV_C05_ATG,ELC,OUT
E_WOF_tran_Near_C5_CHL,ELCWIN,IN
E_WOF_tran_Inter_C2_SOM,ELC,OUT
EZCOABIOPULPEL10CO,ELCCO2N,OUT
E_WOF_deep_Inter_C1_ECU,ELCWIN,IN
E_WOF_deep_Inter_C4_SOM,ELC,OUT
UZETHCRP202,ALCETH,OUT
EZCCGT122,ELC,OUT
CCULIQ02,CCUFOS,IN
E_WOF_shal_Far_C2_MDG,ELCWIN,IN
CCULIQ03,OILDSTB,OUT
E_WON_Near_C3_BEN,ELCWIN,IN
E_WON_Near_C2_SEN,ELC,OUT
E_WOF_shal_Near_C1_BRA,ELC,OUT
E_SPV_C05_CAF,ELC,OUT
E_SPV_C05_AGO,ELC,OUT
E_WOF_shal_Far_C4_AUS,ELC,OUT
E_SPV_C07_KEN,ELC,OUT
E_WOF_shal_Near_C1_HTI,ELCWIN,IN
E_WOF_shal_Near_C7_NZL,ELCWIN,IN
E_WON_Trans_C5_KEN,ELCWIN,IN
E_WOF_deep_Inter_C2_DOM,ELC,OUT
UCOCOIL100,BIOCOCOIL,OUT
E_WOF_shal_Near_C7_VEN,ELCWIN,IN
HBIO200,BIOLIG,IN
CCUMINBFSF,CPTINDCO2N,IN
E_SPV_C06_GUY,ELC,OUT
E_WON_Far_C1_GTM,ELC,OUT
E_SPV_C08_COL,ELC,OUT
UBIOARSPSLD100,BIOSLD,OUT
E_SPV_C07_ADO,ELCSOL,IN
E_SPV_C04_HUN,ELCSOL,IN
EZBIOPELD105,BIOPEL,IN
E_WOF_tran_Far_C1_GIN,ELC,OUT
E_WOF_deep_Far_C4_NIC,ELC,OUT
IN2ONIT05,INDNIT,IN
E_WON_Far_C1_TCD,ELC,OUT
SINKON,CO2TRAON,IN
E_WOF_shal_Inter_C2_GUY,ELC,OUT
E_WOF_shal_Near_C3_EGY,ELCWIN,IN
CCUMINEASF,BFSAGG,OUT
INMSLDMIXCC,INMBIOCHR,IN
E_WOF_shal_Inter_C3_URY,ELC,OUT
E_SPV_C07_KEN,ELCSOL,IN
E_SPV_C04_MYS,ELCSOL,IN
E_SPV_C04_LKA,ELC,OUT
E_WOF_tran_Far_C5_CHN,ELC,OUT
E_WON_Trans_C7_SOM,ELCWIN,IN
E_WON_Trans_C5_ERI,ELC,OUT
E_WON_Far_C5_CAN,ELC,OUT
IPLPELC_new,INDELC,IN
E_WOF_shal_Inter_C5_NZL,ELCWIN,IN
E_WON_Near_C2_CHN,ELC,OUT
E_WOF_tran_Inter_C4_KEN,ELCWIN,IN
E_WOF_deep_Near_C4_TTO,ELC,OUT
E_WON_Near_C1_CIV,ELC,OUT
E_WOF_deep_Near_C4_NIC,ELCWIN,IN
E_WOF_tran_Near_C6_CAN,ELC,OUT
E_WOF_tran_Near_C7_ARG,ELC,OUT
E_WON_Far_C4_NZL,ELC,OUT
E_WOF_shal_Inter_C4_CAN,ELCWIN,IN
E_WON_Far_C3_VEN,ELC,OUT
E_WOF_deep_Near_C1_HND,ELC,OUT
E_WON_Near_C6_CHN,ELC,OUT
HETGEOP105,HET,OUT
E_SPV_C02_THA,ELC,OUT
UBDLCRP100,BIOOIL,IN
E_WON_Near_C8_SOM,ELC,OUT
E_WOF_shal_Near_C1_ECU,ELC,OUT
E_SPV_C01_TUR,ELC,OUT
E_WON_Near_C3_ZWE,ELCWIN,IN
E_WOF_tran_Near_C2_TTO,ELC,OUT
E_WOF_deep_Near_C6_NIC,ELC,OUT
E_WOF_deep_Near_C3_PAN,ELC,OUT
INMCEMPLAMEACC,MNMCLK,OUT
E_WOF_tran_Far_C3_LBY,ELCWIN,IN
INMCEMPLAOXYCC,INMFUELCC,IN
E_WON_Far_C3_CAN,ELC,OUT
TRLHHD020,TRAHH2,IN
CCULIQ01,OILGSL,OUT
E_WOF_tran_Inter_C2_AUS,ELC,OUT
E_SPV_C06_DOM,ELC,OUT
E_WOF_shal_Near_C4_MRT,ELC,OUT
CCUDUMSUPN,CPTSUPCO2N,IN
E_WON_Trans_C1_GHA,ELC,OUT
INMSLDMIXCC,INMBIOPEL,IN
E_WON_Near_C3_ETH,ELCWIN,IN
E_WOF_deep_Inter_C2_MOZ,ELC,OUT
E_WON_Near_C5_SOM,ELC,OUT
E_WOF_shal_Near_C2_MOZ,ELCWIN,IN
E_SPV_C05_SOM,ELCSOL,IN
IOLPELC_new,IOLP,OUT
E_WOF_tran_Inter_C3_HND,ELCWIN,IN
EZCCGT123,ELC,OUT
E_WON_Far_C2_BWA,ELC,OUT
E_WON_Far_C4_MAR,ELCWIN,IN
INMCEMPLAMEACC,INMCO2P,OUT
IISHISINT_SM01,MISLORE,IN
E_WOF_tran_Near_C4_GTM,ELC,OUT
E_WOF_tran_Near_C4_TTO,ELCWIN,IN
E_WON_Far_C1_ETH,ELC,OUT
E_WON_Trans_C4_MRT,ELCWIN,IN
E_WOF_shal_Near_C4_SEN,ELCWIN,IN
E_SPV_C05_COG,ELCSOL,IN
E_WON_Trans_C3_AUS,ELC,OUT
E_SPV_C02_CHN,ELC,OUT
E_WOF_deep_Far_C5_VEN,ELCWIN,IN
E_WOF_tran_Far_C4_VEN,ELCWIN,IN
UBIOARSPTOARSP100,BIOGRDCAK,IN
E_SPV_C03_UKR,ELCSOL,IN
EGEOT205,ELCCO2P,OUT
E_WON_Near_C1_SOM,ELC,OUT
E_WOF_deep_Inter_C9_CHL,ELCWIN,IN
E_WOF_deep_Inter_C4_SLV,ELCWIN,IN
QQOLM00,MWC,OUT
E_SPV_C05_LIE,ELC,OUT
E_WOF_tran_Far_C3_JAM,ELC,OUT
E_WON_Trans_C2_BFA,ELC,OUT
E_WOF_tran_Near_C4_ZAF,ELCWIN,IN
E_WOF_deep_Near_C1_GTM,ELCWIN,IN
E_WON_Trans_C1_CMR,ELCWIN,IN
E_WOF_deep_Far_C8_MRT,ELCWIN,IN
E_WOF_tran_Near_C7_ARG,ELCWIN,IN
E_WON_Far_C4_TCD,ELCWIN,IN
CCSDUMTOT,SNKCO2,OUT
IISBLAFUR_BF01,MISPLT,IN
E_WOF_deep_Near_C6_MRT,ELCWIN,IN
E_SPV_C07_HTI,ELCSOL,IN
E_WOF_tran_Inter_C3_SUR,ELC,OUT
E_WOF_deep_Near_C1_BEN,ELCWIN,IN
E_WOF_shal_Near_C3_TZA,ELCWIN,IN
E_WOF_shal_Near_C2_VEN,ELC,OUT
IPCHNGA_new,INDNGA,IN
E_WOF_deep_Near_C2_CUB,ELCWIN,IN
E_WOF_tran_Near_C5_CHL,ELC,OUT
E_WOF_deep_Far_C8_NZL,ELCWIN,IN
E_WON_Far_C5_ZMB,ELC,OUT
E_WON_Far_C1_SDN,ELC,OUT
E_WOF_shal_Inter_C3_CHN,ELCWIN,IN
E_WON_Far_C3_SDN,ELC,OUT
E_SPV_C04_BFA,ELCSOL,IN
E_WOF_tran_Near_C1_TGO,ELC,OUT
E_WOF_deep_Inter_C1_MDG,ELC,OUT
E_WON_Near_C4_NGA,ELC,OUT
E_SPV_C04_EST,ELCSOL,IN
E_WOF_deep_Far_C1_ECU,ELC,OUT
E_SPV_C07_JOR,ELC,OUT
E_SPV_C03_NOR,ELC,OUT
E_WON_Trans_C4_AUS,ELC,OUT
E_WON_Near_C3_NGA,ELCWIN,IN
E_WOF_shal_Near_C5_CHL,ELCWIN,IN
E_WOF_shal_Near_C2_CHL,ELC,OUT
E_WOF_deep_Far_C9_CAN,ELC,OUT
IMOIELC_new,IMOI,OUT
E_WOF_deep_Inter_C1_CRI,ELC,OUT
E_WOF_deep_Near_C7_CHL,ELCWIN,IN
E_WOF_tran_Near_C1_MAR,ELCWIN,IN
E_SPV_C05_NGA,ELCSOL,IN
E_SPV_C05_IRQ,ELCSOL,IN
E_WOF_deep_Far_C4_SUR,ELCWIN,IN
EZPCOA122,CPTELCCO2N,OUT
E_SPV_C05_SYR,ELCSOL,IN
E_SPV_C06_PAK,ELCSOL,IN
E_WON_Far_C3_NIC,ELC,OUT
E_SPV_C06_PAK,ELC,OUT
E_WOF_deep_Inter_C4_SEN,ELCWIN,IN
E_SPV_C04_UGA,ELC,OUT
E_SPV_C03_IDN,ELC,OUT
E_SPV_C06_AUT,ELCSOL,IN
E_SPV_C07_TZA,ELCSOL,IN
EZCOABIOPULTOR10SEP,CPTELCCO2B,OUT
E_SPV_C05_AUS,ELCSOL,IN
E_WOF_deep_Inter_C1_GAB,ELC,OUT
E_WOF_deep_Inter_C4_JAM,ELCWIN,IN
QQOLM00,QCCG0,IN
E_WON_Near_C2_ERI,ELCWIN,IN
E_WOF_tran_Inter_C3_MAR,ELCWIN,IN
IN2ONIT04,INDN2OP,IN
TRABIOSNG010,BIOSNGAS,IN
UMETGAS100,SUPCO2N,OUT
E_WOF_shal_Inter_C5_HND,ELC,OUT
TRLHHG005,TRAHH2,IN
E_SPV_C06_HND,ELCSOL,IN
E_SPV_C02_ETH,ELCSOL,IN
EZCCGT125,CPTELCCO2N,OUT
EZPCOA120,CPTELCCO2N,OUT
E_WON_Far_C2_SEN,ELCWIN,IN
E_WOF_deep_Inter_C3_SOM,ELC,OUT
E_SPV_C01_NOR,ELC,OUT
E_WON_Far_C6_TCD,ELC,OUT
E_WON_Trans_C2_DZA,ELC,OUT
E_WON_Near_C1_LSO,ELCWIN,IN
E_WON_Trans_C2_GNB,ELC,OUT
E_WON_Trans_C3_AUS,ELCWIN,IN
E_WON_Near_C5_NZL,ELC,OUT
E_WON_Far_C1_ERI,ELCWIN,IN
E_WOF_shal_Near_C2_PRI,ELC,OUT
E_WOF_tran_Far_C9_ARG,ELCWIN,IN
E_WOF_deep_Inter_C1_CIV,ELCWIN,IN
E_WOF_deep_Far_C5_VEN,ELC,OUT
E_SPV_C02_CMR,ELCSOL,IN
E_WOF_tran_Far_C4_NIC,ELCWIN,IN
E_WOF_deep_Far_C5_SOM,ELCWIN,IN
E_WOF_tran_Inter_C5_JAM,ELCWIN,IN
E_SPV_C03_POL,ELCSOL,IN
EZCOABIOPULPEL20PAR,BIOPEL,IN
E_WON_Near_C2_COG,ELCWIN,IN
E_SPV_C01_MAR,ELC,OUT
E_WOF_deep_Near_C1_GNQ,ELC,OUT
E_WOF_deep_Near_C4_MAR,ELC,OUT
E_SPV_C05_MDG,ELCSOL,IN
E_WOF_tran_Inter_C4_URY,ELCWIN,IN
E_SPV_C05_UKR,ELCSOL,IN
E_WOF_shal_Far_C1_GIN,ELCWIN,IN
E_WOF_deep_Near_C2_DOM,ELC,OUT
E_WOF_shal_Near_C3_MAR,ELC,OUT
E_WOF_shal_Far_C9_NZL,ELCWIN,IN
EZCOABIOCCOSLD40PAR,ELCCOA,IN
INMGASMIXPCC,INDBIOSNG,IN
E_WON_Trans_C2_SWZ,ELCWIN,IN
E_SPV_C05_DJI,ELC,OUT
E_WOF_deep_Far_C3_CPV,ELC,OUT
RCH4WLF10,RESDMY,OUT
E_WOF_tran_Far_C4_DOM,ELC,OUT
E_WON_Trans_C1_CHN,ELCWIN,IN
E_WOF_shal_Inter_C8_MRT,ELCWIN,IN
E_WOF_deep_Near_C3_DJI,ELCWIN,IN
E_WOF_shal_Near_C2_TUN,ELCWIN,IN
E_WOF_tran_Near_C9_CHL,ELC,OUT
CCULIQ01,OILKER,OUT
E_WOF_tran_Near_C3_ERI,ELCWIN,IN
E_WOF_tran_Near_C6_AUS,ELC,OUT
E_WON_Near_C2_SWZ,ELCWIN,IN
E_WOF_deep_Near_C3_AGO,ELCWIN,IN
E_WOF_deep_Near_C4_BHS,ELCWIN,IN
QQOLM00,QTVON0,IN
E_WOF_deep_Far_C3_TUN,ELC,OUT
E_WOF_deep_Inter_C4_MRT,ELC,OUT
E_SPV_C01_USA,ELCSOL,IN
IISDRIH2,MISOXY,IN
E_SPV_C08_BWA,ELC,OUT
E_SPV_C02_PAN,ELCSOL,IN
E_WOF_deep_Far_C8_MUS,ELC,OUT
E_WON_Far_C7_CAN,ELCWIN,IN
EZCOABIOCCOPEL20SEP,CPTELCCO2B,OUT
E_SPV_C06_NER,ELC,OUT
E_WOF_shal_Near_C5_ZAF,ELCWIN,IN
E_WON_Near_C1_MOZ,ELC,OUT
E_SPV_C03_BEN,ELCSOL,IN
E_WOF_deep_Near_C3_PER,ELC,OUT
E_WOF_deep_Far_C4_GUY,ELC,OUT
E_WOF_shal_Inter_C7_CAN,ELC,OUT
E_WOF_shal_Far_C8_MUS,ELC,OUT
E_SPV_C04_UZB,ELCSOL,IN
E_SPV_C03_VNM,ELC,OUT
EZCOABIOPULTOR10SEP,ELCCO2N,OUT
E_WOF_deep_Far_C5_MAR,ELCWIN,IN
E_SPV_C05_THA,ELC,OUT
E_WOF_tran_Near_C4_BRA,ELC,OUT
E_WOF_tran_Inter_C1_SLE,ELCWIN,IN
E_WOF_deep_Inter_C2_HTI,ELCWIN,IN
E_WOF_shal_Near_C7_ARG,ELC,OUT
EZCOABIOPULPEL40PAR,CPTELCCO2B,OUT
E_SPV_C08_AUS,ELC,OUT
E_SPV_C06_MWI,ELC,OUT
E_SPV_C05_EST,ELCSOL,IN
E_SPV_C03_AGO,ELCSOL,IN
E_WOF_deep_Inter_C2_JAM,ELCWIN,IN
E_WOF_deep_Inter_C6_COL,ELCWIN,IN
E_WON_Trans_C5_ETH,ELC,OUT
E_SPV_C02_CHL,ELC,OUT
E_WON_Trans_C2_CIV,ELCWIN,IN
E_SPV_C03_FIN,ELC,OUT
E_WOF_tran_Inter_C9_ARG,ELCWIN,IN
E_WON_Trans_C3_ZAF,ELC,OUT
E_WON_Trans_C2_ERI,ELC,OUT
E_WOF_shal_Near_C9_ARG,ELC,OUT
E_WON_Far_C4_CHL,ELC,OUT
E_WON_Far_C4_MRT,ELC,OUT
E_WOF_deep_Inter_C5_BRA,ELC,OUT
E_SPV_C02_NLD,ELCSOL,IN
HNGA100,SUPNGA,IN
E_WOF_shal_Near_C6_NZL,ELC,OUT
E_SPV_C07_NPL,ELCSOL,IN
E_WOF_deep_Inter_C2_BHS,ELC,OUT
E_WON_Near_C3_ERI,ELC,OUT
E_SPV_C07_SOM,ELC,OUT
E_WON_Near_C5_SOM,ELCWIN,IN
E_WOF_shal_Far_C8_ARG,ELC,OUT
E_WON_Near_C2_DZA,ELCWIN,IN
IOCHBIO_new,INDBIO,IN
E_WOF_tran_Far_C3_GUY,ELC,OUT
E_WOF_deep_Near_C5_MRT,ELCWIN,IN
E_SPV_C06_YEM,ELCSOL,IN
E_WOF_deep_Inter_C1_VEN,ELCWIN,IN
E_WOF_tran_Near_C2_PAN,ELC,OUT
E_WOF_tran_Inter_C5_HND,ELC,OUT
E_WOF_deep_Inter_C7_SOM,ELC,OUT
E_WOF_deep_Inter_C4_DJI,ELCWIN,IN
E_SPV_C01_NGA,ELCSOL,IN
E_WOF_deep_Near_C2_CAN,ELC,OUT
E_WOF_shal_Near_C1_AUS,ELC,OUT
E_SPV_C07_IRN,ELCSOL,IN
E_WON_Far_C4_ZAF,ELC,OUT
E_SPV_C03_PAN,ELCSOL,IN
E_WOF_tran_Inter_C2_LBY,ELCWIN,IN
E_WOF_deep_Inter_C2_SOM,ELCWIN,IN
E_WON_Trans_C1_GHA,ELCWIN,IN
E_WOF_deep_Near_C8_MDG,ELCWIN,IN
E_WOF_shal_Far_C4_CHN,ELCWIN,IN
E_WOF_tran_Near_C9_SOM,ELC,OUT
E_WOF_deep_Inter_C8_VEN,ELC,OUT
E_SPV_C04_SYR,ELCSOL,IN
E_WOF_deep_Inter_C2_PAN,ELC,OUT
E_WON_Trans_C7_NZL,ELCWIN,IN
E_SPV_C03_THA,ELCSOL,IN
E_WOF_shal_Near_C3_COL,ELCWIN,IN
E_WON_Trans_C3_KEN,ELCWIN,IN
E_WOF_shal_Far_C4_DOM,ELC,OUT
IN2ONIT01,INDN2OP,IN
E_WON_Trans_C3_BEN,ELC,OUT
E_WOF_tran_Inter_C4_ZAF,ELCWIN,IN
E_WOF_deep_Inter_C3_LBY,ELCWIN,IN
E_SPV_C06_ESP,ELCSOL,IN
UFTHFO_COACCS,SUPELC,IN
E_WOF_tran_Inter_C3_SUR,ELCWIN,IN
E_WOF_tran_Far_C6_BRA,ELCWIN,IN
E_SPV_C06_BGD,ELC,OUT
IISEAFSCP01,MISOXY,IN
CCUMINPFAB,CPTELCCO2B,IN
E_WOF_shal_Near_C8_SOM,ELCWIN,IN
UBIOCRPPRD100,BIOARSMAI,OUT
E_WOF_shal_Near_C1_VEN,ELCWIN,IN
CCUDUMINDP,CCUFOS,OUT
CHPABGASP00,HET,OUT
E_WON_Far_C5_MRT,ELC,OUT
E_WOF_deep_Inter_C2_NIC,ELCWIN,IN
RCH4WLF05,RESDMY,OUT
E_SPV_C05_SAU,ELCSOL,IN
E_SPV_C03_NIC,ELCSOL,IN
E_WON_Far_C3_TCD,ELC,OUT
UBIOARSPTOARSP100,BIOJATCAK,IN
E_SPV_C02_GEO,ELCSOL,IN
E_WOF_shal_Inter_C4_CUB,ELC,OUT
E_SPV_C03_AZE,ELCSOL,IN
E_SPV_C01_DNK,ELC,OUT
E_SPV_C05_AUS,ELC,OUT
E_SPV_C05_GUF,ELC,OUT
E_SPV_C07_IRN,ELC,OUT
HZBIO200,BIOLIG,IN
E_WOF_shal_Near_C1_GNQ,ELC,OUT
E_WON_Far_C5_LBY,ELCWIN,IN
E_WOF_shal_Near_C1_SDN,ELC,OUT
E_WON_Trans_C3_SEN,ELCWIN,IN
E_SPV_C05_DEU,ELC,OUT
E_WON_Far_C5_TCD,ELC,OUT
E_WOF_tran_Inter_C5_MDG,ELC,OUT
UPYRGSL_BIOCCS,SUPELC,IN
HCOA100,SUPCOA,IN
E_WON_Far_C1_SUR,ELC,OUT
RCH4WLF04,RESDMY,OUT
E_WOF_shal_Inter_C5_NIC,ELCWIN,IN
E_SPV_C06_MRT,ELC,OUT
E_SPV_C03_GBR,ELCSOL,IN
E_WOF_shal_Near_C3_COL,ELC,OUT
E_WON_Trans_C6_ETH,ELC,OUT
E_WON_Trans_C1_AUS,ELCWIN,IN
E_WOF_tran_Far_C4_MOZ,ELC,OUT
E_WOF_deep_Near_C3_COL,ELC,OUT
E_SPV_C03_MNG,ELCSOL,IN
UZETHCRP101,ALCETH,OUT
E_SPV_C06_GTM,ELC,OUT
E_WOF_deep_Near_C1_GAB,ELCWIN,IN
E_SPV_C04_AZE,ELCSOL,IN
UBIOSRF1800,BIOSRFSRC,OUT
UPYRDST_BIOCCS,BIOLIG,IN
E_WOF_tran_Far_C5_BRA,ELC,OUT
E_WOF_shal_Near_C1_MOZ,ELC,OUT
E_SPV_C03_KHM,ELCSOL,IN
E_WOF_tran_Inter_C2_BHS,ELCWIN,IN
E_WOF_tran_Near_C1_SLV,ELC,OUT
E_WON_Near_C4_CHN,ELCWIN,IN
E_WOF_shal_Far_C6_CHN,ELC,OUT
E_SPV_C01_ETH,ELCSOL,IN
E_SPV_C06_PER,ELC,OUT
E_WOF_shal_Inter_C3_CPV,ELC,OUT
E_WON_Far_C1_BOL,ELCWIN,IN
E_SPV_C06_TKM,ELC,OUT
EZCOABIOCCOPEL10CO,CPTELCCO2N,OUT
UZBDLCRP201,BIODST,OUT
E_WOF_deep_Near_C8_AUS,ELCWIN,IN
E_WOF_tran_Near_C4_MDG,ELCWIN,IN
E_WON_Near_C2_TGO,ELC,OUT
E_WON_Near_C1_GAB,ELC,OUT
E_SPV_C05_ATG,ELCSOL,IN
E_WON_Far_C4_EGY,ELCWIN,IN
E_WOF_deep_Inter_C4_BRA,ELCWIN,IN
E_SPV_C05_THA,ELCSOL,IN
IISCHRCAUD01,IISCOA,IN
E_WOF_tran_Near_C3_EGY,ELCWIN,IN
E_WON_Near_C5_EGY,ELCWIN,IN
E_WON_Near_C2_ZWE,ELC,OUT
E_WON_Near_C2_MOZ,ELC,OUT
E_WOF_tran_Inter_C1_COL,ELCWIN,IN
E_SPV_C04_IDN,ELC,OUT
UMTGGSL01,SUPELC,OUT
E_WOF_shal_Inter_C4_ZAF,ELC,OUT
E_WON_Far_C6_KEN,ELCWIN,IN
E_WON_Trans_C3_MOZ,ELC,OUT
E_SPV_C06_HUN,ELC,OUT
E_WOF_shal_Near_C7_CHN,ELC,OUT
E_WON_Far_C6_NER,ELC,OUT
E_SPV_C02_ECU,ELC,OUT
E_WOF_deep_Near_C7_COL,ELC,OUT
E_WOF_deep_Near_C2_NIC,ELCWIN,IN
E_WOF_tran_Near_C2_SEN,ELCWIN,IN
