process,commodity,direction
E_WOF_tran_Inter_C1_GMB,ELC,OUT
IPCHOIL_new,IPCH,OUT
SNKDACSS03,CPTTOTCO2,OUT
EZCOABIOPULPEL10CO,ELC,OUT
UPYRDST_BIOCCS,SUPELC,IN
E_WOF_shal_Near_C4_HND,ELCWIN,IN
UBIOARSHSLD100,BIOSLD,OUT
E_WOF_deep_Near_C4_CPV,ELC,OUT
INMAGGPROD,MNMPFA,IN
FT_INMFUELPCC,INMFUELPCC,OUT
CCULIQ01,OILDST,OUT
UBIOSRF1200,BIOSRF,IN
E_WOF_shal_Near_C6_ARG,ELC,OUT
E_WOF_shal_Near_C1_DJI,ELC,OUT
E_WOF_tran_Near_C4_MAR,ELCWIN,IN
UBIOMISLIG100,BIOLIG,OUT
E_SPV_C06_JAM,ELCSOL,IN
EZCOABIOPULSLD40PAR,ELCCOA,IN
E_WOF_deep_Near_C9_NZL,ELCWIN,IN
EZBIOPELG105,ELC,OUT
IPCHLPG_new,INDLPG,IN
E_SPV_C01_AZE,ELCSOL,IN
E_SPV_C04_MEX,ELC,OUT
E_SPV_C01_BDI,ELC,OUT
E_WON_Near_C3_MLI,ELCWIN,IN
RCH4WLF03,RESWLF3,IN
UBIOCRPPRD600,BIOARSSOY,OUT
E_WOF_deep_Inter_C3_SLV,ELCWIN,IN
CCSDUMINMPB,INMCO2P,IN
E_SPV_C03_LAO,ELC,OUT
INMOXYGEN01,INDELC,IN
MINBIOARS1,BIOARSP,OUT
E_SPV_C04_ALB,ELCSOL,IN
CCUDUMINDP,CPTINDCO2P,IN
UBIOCRPPRD1300,BIOSRFCANE,IN
CCSDUMELCN,CPTELCCO2N,IN
UBIOPRCSAW100,BIOPRC,IN
EZCOABIOPULSLD20PAR,CPTELCCO2B,OUT
E_WOF_deep_Far_C1_ERI,ELC,OUT
UMETGAS100,SUPELC,IN
QQOLS00,QTVUC0,IN
RCH4WLF01,RESNGA,OUT
CO2TRAOFF - step 1,CO2TRAOFF,OUT
UBDLCRP200,BIOLIG,IN
EZCCGT120,CPTELCCO2N,OUT
EZCOABIOCCOPEL10SEP,BIOPEL,IN
IFCHNAP_new,IFCH,OUT
ELCWAV000,WAV,IN
USOYOIL100,BIOSOYOIL,OUT
EZCOABIOPULSLD5CO,ELCBSL,IN
EZCOABIOPULSLD10SEP,ELC,OUT
E_WON_Near_C1_NER,ELC,OUT
FT_INMFUELPCC,INMSLDPCC,IN
EZCOABIOCCOSLD40PAR,ELC,OUT
INMLIQMIXCC,INDOIL,IN
EZCOABIOPULSLD10PAR,ELCBSL,IN
FT_INMFUELCC,INDELC,IN
E_WOF_shal_Far_C4_VEN,ELCWIN,IN
ACH4MANE3,AGRNG3,IN
E_WOF_deep_Inter_C4_HND,ELC,OUT
RCH4WLF01,RESCH4P,IN
E_WOF_deep_Inter_C3_CHL,ELC,OUT
UFTDST_GAS,GASNGA,IN
E_WON_Trans_C3_TUN,ELC,OUT
E_SPV_C05_TUN,ELC,OUT
INMCEMPLAWET01,MNMCLK,OUT
E_WOF_tran_Near_C7_CAN,ELCWIN,IN
IISBCHCKBFCS01,IISBCHR,IN
E_SPV_C02_AFG,ELCSOL,IN
E_WOF_tran_Far_C9_MDG,ELC,OUT
USOYOIL100,BIOCRPSOY,IN
UBIOOIL700,BIOOIL,OUT
INMSLDMIXCC,INMBIOTOR,IN
ISLPBIO_new,ISLP,OUT
E_SPV_C03_ZAF,ELCSOL,IN
EZCOABIOPULPEL10PAR,ELC,OUT
UBIOCRPPRD500,BIOCRPCAS,OUT
ACH4MAN01,AGRDMY,OUT
CCSDUMTOT,TOTCO2,IN
E_WOF_tran_Inter_C6_BRA,ELCWIN,IN
UBIOSRF800,BIOSRFRAP,OUT
CCSDUMINDN,SNKCO2,OUT
UPALMOIL100,BIOCRPPALM,IN
CCUGAS01,GASNGA,OUT
UBIOCRPTOCRP100,BIOCRPMAI,IN
E_SPV_C07_LBN,ELC,OUT
E_WOF_deep_Near_C4_CAN,ELCWIN,IN
UBIOARSPTOARSP100,BIOCANEBG,IN
E_WON_Near_C1_GIN,ELC,OUT
UPYRGSL_BIO,BIOGSL,OUT
E_WON_Trans_C2_TUN,ELCWIN,IN
UBIOARSHTOARSH100,BIOARSSOY,IN
INMCEMPLAOXYPCC,MNMCLK,OUT
EZCOABIOCCOSLD5CO,CPTELCCO2N,OUT
IN2OADI01,INDN2OP,IN
CCUMINEASB,INDELC,IN
CCUMINPFAF,ASHAGG,OUT
EZCOABIOCCOSLD10PAR,CPTELCCO2B,OUT
E_SPV_C05_BOL,ELCSOL,IN
EZCOABIOPULPEL10PAR,CPTELCCO2N,OUT
CCUMINEASP,INDHET,IN
CCSDUMINDBPP,SNKCO2,OUT
EZCOABIOPULTOR40PAR,ELC,OUT
E_WON_Far_C6_ETH,ELCWIN,IN
EZCOABIOPULTOR20SEP,ELCCO2N,OUT
EZCOABIOPULTOR10CO,ELC,OUT
EZCOABIOPULSLD20SEP,ELCBSL,IN
EZBIOPELG105,CPTELCCO2B,OUT
EZCCGT123,ELCNGA,IN
E_WOF_deep_Near_C5_PER,ELC,OUT
CCSDUMINDB,INDCO2N,IN
E_WON_Trans_C2_EGY,ELCWIN,IN
EZCOABIOPULPEL10SEP,BIOPEL,IN
EZCOABIOPULPEL10CO,CPTELCCO2N,OUT
E_WOF_tran_Near_C1_AUS,ELC,OUT
CO2TRAOFF - step 2,CO2TRAOFF,OUT
EZCOABIOPULPEL10SEP,CPTELCCO2N,OUT
UBIOCRPPRD1700,BIOSRFCAG,IN
E_WON_Trans_C4_UGA,ELC,OUT
UBIOCRPTOCRP700,BIOCRPSUN,IN
E_WOF_shal_Near_C1_TZA,ELC,OUT
UBIOSRF1800,BIOSRF,IN
RCH4WLF11,RESCH4P,IN
UBIOCRPPRD1300,BIOARSCANE,OUT
UPYRGSL_BIO,BIOLIG,IN
EZCOABIOPULTOR20PAR,CPTELCCO2N,OUT
E_SPV_C03_SOM,ELC,OUT
UGRDOIL100,BIOGRDOIL,OUT
INMCEMPLAOXYCC,INDCO2P,OUT
CCUMINEASP,CPTINDCO2P,IN
EZCOABIOCCOSLD20PAR,ELC,OUT
E_WON_Trans_C4_SDN,ELC,OUT
EZCOABIOPULPEL20SEP,ELCCOA,IN
MINBIOARS0,BIOARSH,OUT
E_WON_Trans_C1_ZMB,ELCWIN,IN
UBIOCHR00,BIOWOOD,IN
E_WOF_tran_Inter_C3_MDG,ELCWIN,IN
IOLPLPG_new,IOLP,OUT
E_WON_Trans_C4_BWA,ELCWIN,IN
INMGASMIXCC,INDLPG,IN
UBIOCANESUGAR100,BIOCRPSUG,OUT
E_WON_Trans_C2_CHN,ELC,OUT
EZCCGT124,ELCNGA,IN
IONFNGA_new,INDNGA,IN
CCULIQ04,OILGSLB,OUT
EZCOABIOCCOPEL20PAR,BIOPEL,IN
INMCEMPLAKS1CC,MNMLIM,IN
UBIOARSHTOARSH100,BIOARSRAP,IN
E_SPV_C06_NIC,ELCSOL,IN
INMCEMPLAOXYPCC,INDCO2P,OUT
RCH4WLFE8,RESNG8,IN
E_WON_Trans_C1_NGA,ELCWIN,IN
E_WOF_shal_Far_C4_GUY,ELC,OUT
EZCOABIOPULTOR20CO,ELC,OUT
E_WOF_deep_Near_C3_EGY,ELCWIN,IN
CCUGAS02,GASNGA,OUT
RCH4WLF06,RESNGA,OUT
E_WON_Far_C8_ARG,ELCWIN,IN
INMCEMPLAWET01,INMCO2P,OUT
UBIOCRPPRD1100,BIOARSJAT,OUT
UBIOARSPTOARSP100,BIOBETPL,IN
E_SPV_C05_PHL,ELC,OUT
E_SPV_C01_SWE,ELC,OUT
INMGASMIXPCC,INDCOG,IN
UBIOPRCSAW100,BIOSAW,OUT
E_WON_Near_C2_CMR,ELCWIN,IN
ISNFNGA_new,INDNGA,IN
UPYRGSL_BIO,SUPELC,IN
UBIOSRF1700,BIOSRF,IN
IMCHLPG_new,IMCH,OUT
E_WON_Trans_C5_DJI,ELCWIN,IN
E_SPV_C06_BTN,ELCSOL,IN
CCULIQ02,SYNHYG,IN
ISOIBIO_new,ISOI,OUT
CCULIQ02,OILGSL,OUT
E_WOF_tran_Inter_C4_VEN,ELCWIN,IN
EZCOABIOCCOPEL10PAR,CPTELCCO2B,OUT
ACH4MANE3,HET,OUT
CCUGAS03,CCUNEU,IN
EZCCGT120,ELC,OUT
EWAVGEN100,ELCWAV,IN
RCH4WLF03,RESCH4P,IN
INMGASMIXPCC,INDHH2,IN
E_WOF_shal_Near_C2_DOM,ELCWIN,IN
UBIOBETTSUGAR100,BIOCRPBETT,IN
E_WOF_deep_Far_C1_PER,ELCWIN,IN
IFCHLPG_new,OILLPG,IN
UFTHFO_COACCS,COAHCO,IN
E_SPV_C05_KAZ,ELC,OUT
